ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00,2024-01-01 10:00,EURUSD,100
2,2024-01-01 10:00,2024-01-01 11:00,EURUSD,-50
3,2024-01-01 11:00,2024-01-01 12:00,EURUSD,150
4,2024-01-01 12:00,2024-01-01 13:00,EURUSD,-80
5,2024-01-01 13:00,2024-01-01 14:00,EURUSD,120
6,2024-01-01 14:00,2024-01-01 15:00,EURUSD,-100
7,2024-01-01 15:00,2024-01-01 16:00,EURUSD,200
8,2024-01-02 09:00,2024-01-02 10:00,GBPUSD,50
9,2024-01-02 10:00,2024-01-02 11:00,GBPUSD,-30
10,2024-01-02 11:00,2024-01-02 12:00,GBPUSD,100
11,2024-01-02 12:00,2024-01-02 13:00,GBPUSD,-50
12,2024-01-02 13:00,2024-01-02 14:00,GBPUSD,150
13,2024-01-02 14:00,2024-01-02 15:00,GBPUSD,-100
14,2024-01-02 15:00,2024-01-02 16:00,GBPUSD,80
15,2024-01-03 09:00,2024-01-03 10:00,BTCUSD,500
16,2024-01-03 10:00,2024-01-03 11:00,BTCUSD,-300
17,2024-01-03 11:00,2024-01-03 12:00,BTCUSD,400
18,2024-01-03 12:00,2024-01-03 13:00,BTCUSD,-250
19,2024-01-03 13:00,2024-01-03 14:00,BTCUSD,150
20,2024-01-03 14:00,2024-01-03 15:00,BTCUSD,-100
21,2024-01-03 15:00,2024-01-03 16:00,BTCUSD,200
22,2024-01-04 09:00,2024-01-04 10:00,ETHUSD,100
23,2024-01-04 10:00,2024-01-04 11:00,ETHUSD,-50
24,2024-01-04 11:00,2024-01-04 12:00,ETHUSD,150
25,2024-01-04 12:00,2024-01-04 13:00,ETHUSD,-80
