ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00,2024-01-01 10:00,EURUSD,150
2,2024-01-01 11:00,2024-01-01 12:00,EURUSD,-80
3,2024-01-01 13:00,2024-01-01 14:00,EURUSD,120
4,2024-01-01 15:00,2024-01-01 16:00,EURUSD,-100
5,2024-01-02 09:00,2024-01-02 10:00,GBPUSD,200
6,2024-01-02 11:00,2024-01-02 12:00,GBPUSD,-50
7,2024-01-02 13:00,2024-01-02 14:00,GBPUSD,80
8,2024-01-02 15:00,2024-01-02 16:00,GBPUSD,120
9,2024-01-03 09:00,2024-01-03 10:00,BTCUSD,500
10,2024-01-03 11:00,2024-01-03 12:00,BTCUSD,-300
