trade_id,date,symbol,side,profit
1,2024-01-01,EURUSD,BUY,75
2,2024-01-02,EURUSD,SELL,-40
3,2024-01-03,EURUSD,BUY,90
4,2024-01-04,EURUSD,BUY,60
5,2024-01-05,EURUSD,SELL,-35
6,2024-01-07,EURUSD,SELL,-59.0
7,2024-01-08,EURUSD,BUY,94.19
8,2024-01-09,EURUSD,SELL,-56.52
9,2024-01-10,EURUSD,BUY,63.12
10,2024-01-11,EURUSD,BUY,61.93
11,2024-01-12,EURUSD,BUY,63.23
12,2024-01-13,EURUSD,BUY,-59.74
13,2024-01-14,EURUSD,SELL,-46.39
14,2024-01-15,EURUSD,SELL,-46.54
15,2024-01-16,EURUSD,BUY,100.85
16,2024-01-17,EURUSD,BUY,-30.81
17,2024-01-18,EURUSD,BUY,-44.86
18,2024-01-19,EURUSD,BUY,-35.26
19,2024-01-20,EURUSD,SELL,-31.82
20,2024-01-21,EURUSD,SELL,67.36
21,2024-01-22,EURUSD,SELL,56.06
22,2024-01-23,EURUSD,SELL,-45.41
23,2024-01-24,EURUSD,BUY,66.02
24,2024-01-25,EURUSD,SELL,-35.63
25,2024-01-26,EURUSD,SELL,-53.46
26,2024-01-27,EURUSD,BUY,-34.4
27,2024-01-28,EURUSD,BUY,-26.29
28,2024-01-29,EURUSD,SELL,51.93
29,2024-01-30,EURUSD,BUY,62.66
30,2024-01-31,EURUSD,BUY,-47.41
31,2024-02-01,EURUSD,SELL,104.87
32,2024-02-02,EURUSD,BUY,64.8
33,2024-02-03,EURUSD,BUY,85.08
34,2024-02-04,EURUSD,BUY,63.16
35,2024-02-05,EURUSD,SELL,55.45
36,2024-02-06,EURUSD,BUY,87.65
37,2024-02-07,EURUSD,SELL,53.81
38,2024-02-08,EURUSD,BUY,-38.84
39,2024-02-09,EURUSD,BUY,-59.54
40,2024-02-10,EURUSD,SELL,-38.52
41,2024-02-11,EURUSD,SELL,-55.54
42,2024-02-12,EURUSD,BUY,107.23
43,2024-02-13,EURUSD,SELL,80.04
44,2024-02-14,EURUSD,SELL,-25.18
45,2024-02-15,EURUSD,SELL,-35.64
46,2024-02-16,EURUSD,BUY,-38.42
47,2024-02-17,EURUSD,SELL,50.03
48,2024-02-18,EURUSD,BUY,105.75
49,2024-02-19,EURUSD,SELL,-47.7
50,2024-02-20,EURUSD,SELL,-22.12
51,2024-02-21,EURUSD,BUY,54.15
52,2024-02-22,EURUSD,SELL,-54.86
53,2024-02-23,EURUSD,BUY,65.9
54,2024-02-24,EURUSD,BUY,62.71
55,2024-02-25,EURUSD,SELL,-51.95
56,2024-02-26,EURUSD,SELL,-34.0
57,2024-02-27,EURUSD,SELL,57.26
58,2024-02-28,EURUSD,SELL,85.3
59,2024-02-29,EURUSD,BUY,54.26
60,2024-03-01,EURUSD,BUY,104.33
61,2024-03-02,EURUSD,BUY,64.28
62,2024-03-03,EURUSD,BUY,57.94
63,2024-03-04,EURUSD,BUY,-41.09
64,2024-03-05,EURUSD,SELL,-52.38
65,2024-03-06,EURUSD,SELL,75.41
66,2024-03-07,EURUSD,BUY,-33.07
67,2024-03-08,EURUSD,SELL,74.16
68,2024-03-09,EURUSD,SELL,-50.05
69,2024-03-10,EURUSD,SELL,75.31
70,2024-03-11,EURUSD,SELL,105.4
71,2024-03-12,EURUSD,SELL,-37.99
72,2024-03-13,EURUSD,BUY,-26.56
73,2024-03-14,EURUSD,SELL,-26.05
74,2024-03-15,EURUSD,SELL,62.82
75,2024-03-16,EURUSD,BUY,72.74
76,2024-03-17,EURUSD,SELL,97.04
77,2024-03-18,EURUSD,BUY,107.44
78,2024-03-19,EURUSD,SELL,-31.26
79,2024-03-20,EURUSD,BUY,108.12
80,2024-03-21,EURUSD,SELL,94.88
81,2024-03-22,EURUSD,BUY,-39.89
82,2024-03-23,EURUSD,SELL,107.65
83,2024-03-24,EURUSD,BUY,85.7
84,2024-03-25,EURUSD,BUY,57.19
85,2024-03-26,EURUSD,BUY,85.67
86,2024-03-27,EURUSD,BUY,85.02
87,2024-03-28,EURUSD,BUY,-51.83
88,2024-03-29,EURUSD,BUY,73.75
89,2024-03-30,EURUSD,BUY,68.97
90,2024-03-31,EURUSD,BUY,77.5
91,2024-04-01,EURUSD,SELL,-57.07
92,2024-04-02,EURUSD,BUY,106.0
93,2024-04-03,EURUSD,SELL,-45.22
94,2024-04-04,EURUSD,BUY,-31.86
95,2024-04-05,EURUSD,SELL,-33.84
96,2024-04-06,EURUSD,BUY,-48.02
97,2024-04-07,EURUSD,SELL,-54.63
98,2024-04-08,EURUSD,SELL,83.19
99,2024-04-09,EURUSD,SELL,-31.3
100,2024-04-10,EURUSD,SELL,-49.44
101,2024-04-11,EURUSD,SELL,-26.16
102,2024-04-12,EURUSD,SELL,66.6
