trade_id,date,symbol,side,profit
1,2024-01-02,EURUSD,BUY,25
2,2024-01-03,EURUSD,SELL,-30
3,2024-01-04,EURUSD,BUY,20
4,2024-01-05,EURUSD,SELL,-25
5,2024-01-08,EURUSD,BUY,30
6,2024-01-09,EURUSD,SELL,-35
7,2024-01-10,EURUSD,BUY,28
8,2024-01-11,EURUSD,SELL,-27
9,2024-01-12,EURUSD,BUY,24
10,2024-01-15,EURUSD,SELL,-22
11,2024-01-16,EURUSD,BUY,26
12,2024-01-17,EURUSD,SELL,-29
13,2024-01-18,EURUSD,BUY,23
14,2024-01-19,職業,SELL,-21
15,2024-01-22,EURUSD,BUY,27
16,2024-01-23,EURUSD,SELL,-28
17,2024-01-24,EURUSD,BUY,25
18,2024-01-25,EURUSD,SELL,-26
19,2024-01-26,EURUSD,BUY,22
20,2024-01-29,EURUSD,SELL,-24
21,2024-01-30,EURUSD,BUY,28
22,2024-01-31,EURUSD,SELL,-27
23,2024-02-01,EURUSD,BUY,23
24,2024-02-02,EURUSD,SELL,-25
25,2024-02-05,EURUSD,BUY,26
26,2024-02-06,EURUSD,SELL,-29
27,2024-02-07,EURUSD,BUY,24
28,2024-02-08,EURUSD,SELL,-23
29,2024-02-09,EURUSD,BUY,27
30,2024-02-12,EURUSD,SELL,-28
