ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00:00,2024-01-01 10:00:00,EURUSD,100.00
2,2024-01-01 11:00:00,2024-01-01 12:00:00,EURUSD,100.00
3,2024-01-01 13:00:00,2024-01-01 14:00:00,EURUSD,100.00
4,2024-01-01 15:00:00,2024-01-01 16:00:00,EURUSD,-100.00
5,2024-01-01 17:00:00,2024-01-01 18:00:00,EURUSD,-100.00
6,2024-01-01 19:00:00,2024-01-01 20:00:00,EURUSD,100.00
7,2024-01-01 21:00:00,2024-01-01 22:00:00,EURUSD,-100.00
8,2024-01-01 23:00:00,2024-01-02 00:00:00,EURUSD,-100.00
9,2024-01-02 01:00:00,2024-01-02 02:00:00,EURUSD,100.00
10,2024-01-02 03:00:00,2024-01-02 04:00:00,EURUSD,-100.00
11,2024-01-02 05:00:00,2024-01-02 06:00:00,EURUSD,-100.00
12,2024-01-02 07:00:00,2024-01-02 08:00:00,EURUSD,-100.00
13,2024-01-02 09:00:00,2024-01-02 10:00:00,EURUSD,100.00
14,2024-01-02 11:00:00,2024-01-02 12:00:00,EURUSD,100.00
15,2024-01-02 13:00:00,2024-01-02 14:00:00,EURUSD,100.00
16,2024-01-02 15:00:00,2024-01-02 16:00:00,EURUSD,100.00
17,2024-01-02 17:00:00,2024-01-02 18:00:00,EURUSD,100.00
18,2024-01-02 19:00:00,2024-01-02 20:00:00,EURUSD,100.00
19,2024-01-02 21:00:00,2024-01-02 22:00:00,EURUSD,100.00
20,2024-01-02 23:00:00,2024-01-03 00:00:00,EURUSD,100.00
21,2024-01-03 01:00:00,2024-01-03 02:00:00,EURUSD,100.00
22,2024-01-03 03:00:00,2024-01-03 04:00:00,EURUSD,100.00
23,2024-01-03 05:00:00,2024-01-03 06:00:00,EURUSD,100.00
24,2024-01-03 07:00:00,2024-01-03 08:00:00,EURUSD,100.00
25,2024-01-03 09:00:00,2024-01-03 10:00:00,EURUSD,-100.00
