ticket,open_time,close_time,symbol,profit
1,2024-01-01 09:00:00,2024-01-01 10:00:00,EURUSD,110.49
2,2024-01-01 11:00:00,2024-01-01 12:00:00,EURUSD,-101.69
3,2024-01-01 13:00:00,2024-01-01 14:00:00,EURUSD,134.06
4,2024-01-01 15:00:00,2024-01-01 16:00:00,EURUSD,-107.77
5,2024-01-01 17:00:00,2024-01-01 18:00:00,EURUSD,127.98
6,2024-01-01 19:00:00,2024-01-01 20:00:00,EURUSD,115.61
7,2024-01-01 21:00:00,2024-01-01 22:00:00,EURUSD,135.47
8,2024-01-01 23:00:00,2024-01-02 00:00:00,EURUSD,-89.73
9,2024-01-02 01:00:00,2024-01-02 02:00:00,EURUSD,114.56
10,2024-01-02 03:00:00,2024-01-02 04:00:00,EURUSD,-111.37
11,2024-01-02 05:00:00,2024-01-02 06:00:00,EURUSD,-107.62
12,2024-01-02 07:00:00,2024-01-02 08:00:00,EURUSD,-114.87
13,2024-01-02 09:00:00,2024-01-02 10:00:00,EURUSD,111.13
14,2024-01-02 11:00:00,2024-01-02 12:00:00,EURUSD,-102.00
15,2024-01-02 13:00:00,2024-01-02 14:00:00,EURUSD,135.75
16,2024-01-02 15:00:00,2024-01-02 16:00:00,EURUSD,-103.32
17,2024-01-02 17:00:00,2024-01-02 18:00:00,EURUSD,123.46
18,2024-01-02 19:00:00,2024-01-02 20:00:00,EURUSD,-109.63
19,2024-01-02 21:00:00,2024-01-02 22:00:00,EURUSD,-91.86
20,2024-01-02 23:00:00,2024-01-03 00:00:00,EURUSD,-104.24
21,2024-01-03 01:00:00,2024-01-03 02:00:00,EURUSD,-89.87
22,2024-01-03 03:00:00,2024-01-03 04:00:00,EURUSD,-113.82
23,2024-01-03 05:00:00,2024-01-03 06:00:00,EURUSD,137.55
24,2024-01-03 07:00:00,2024-01-03 08:00:00,EURUSD,116.05
25,2024-01-03 09:00:00,2024-01-03 10:00:00,EURUSD,-87.10
26,2024-01-03 11:00:00,2024-01-03 12:00:00,EURUSD,106.04
27,2024-01-03 13:00:00,2024-01-03 14:00:00,EURUSD,124.78
28,2024-01-03 15:00:00,2024-01-03 16:00:00,EURUSD,-87.66
29,2024-01-03 17:00:00,2024-01-03 18:00:00,EURUSD,-93.34
30,2024-01-03 19:00:00,2024-01-03 20:00:00,EURUSD,-108.43
31,2024-01-03 21:00:00,2024-01-03 22:00:00,EURUSD,-110.35
32,2024-01-03 23:00:00,2024-01-04 00:00:00,EURUSD,115.36
33,2024-01-04 01:00:00,2024-01-04 02:00:00,EURUSD,-92.88
34,2024-01-04 03:00:00,2024-01-04 04:00:00,EURUSD,-93.30
35,2024-01-04 05:00:00,2024-01-04 06:00:00,EURUSD,126.76
36,2024-01-04 07:00:00,2024-01-04 08:00:00,EURUSD,116.09
37,2024-01-04 09:00:00,2024-01-04 10:00:00,EURUSD,109.98
38,2024-01-04 11:00:00,2024-01-04 12:00:00,EURUSD,118.63
39,2024-01-04 13:00:00,2024-01-04 14:00:00,EURUSD,-96.41
40,2024-01-04 15:00:00,2024-01-04 16:00:00,EURUSD,114.43
41,2024-01-04 17:00:00,2024-01-04 18:00:00,EURUSD,118.96
42,2024-01-04 19:00:00,2024-01-04 20:00:00,EURUSD,118.64
43,2024-01-04 21:00:00,2024-01-04 22:00:00,EURUSD,105.52
44,2024-01-04 23:00:00,2024-01-05 00:00:00,EURUSD,124.77
45,2024-01-05 01:00:00,2024-01-05 02:00:00,EURUSD,-106.22
46,2024-01-05 03:00:00,2024-01-05 04:00:00,EURUSD,124.94
47,2024-01-05 05:00:00,2024-01-05 06:00:00,EURUSD,-103.93
48,2024-01-05 07:00:00,2024-01-05 08:00:00,EURUSD,110.30
49,2024-01-05 09:00:00,2024-01-05 10:00:00,EURUSD,115.34
50,2024-01-05 11:00:00,2024-01-05 12:00:00,EURUSD,-112.96
51,2024-01-05 13:00:00,2024-01-05 14:00:00,EURUSD,104.02
52,2024-01-05 15:00:00,2024-01-05 16:00:00,EURUSD,-91.81
53,2024-01-05 17:00:00,2024-01-05 18:00:00,EURUSD,-104.02
54,2024-01-05 19:00:00,2024-01-05 20:00:00,EURUSD,134.18
55,2024-01-05 21:00:00,2024-01-05 22:00:00,EURUSD,-87.76
56,2024-01-05 23:00:00,2024-01-06 00:00:00,EURUSD,122.25
57,2024-01-06 01:00:00,2024-01-06 02:00:00,EURUSD,-111.30
58,2024-01-06 03:00:00,2024-01-06 04:00:00,EURUSD,-96.14
59,2024-01-06 05:00:00,2024-01-06 06:00:00,EURUSD,124.48
60,2024-01-06 07:00:00,2024-01-06 08:00:00,EURUSD,121.59
61,2024-01-06 09:00:00,2024-01-06 10:00:00,EURUSD,-102.20
62,2024-01-06 11:00:00,2024-01-06 12:00:00,EURUSD,113.49
63,2024-01-06 13:00:00,2024-01-06 14:00:00,EURUSD,123.48
64,2024-01-06 15:00:00,2024-01-06 16:00:00,EURUSD,112.97
65,2024-01-06 17:00:00,2024-01-06 18:00:00,EURUSD,137.14
66,2024-01-06 19:00:00,2024-01-06 20:00:00,EURUSD,104.89
67,2024-01-06 21:00:00,2024-01-06 22:00:00,EURUSD,106.42
68,2024-01-06 23:00:00,2024-01-07 00:00:00,EURUSD,118.00
69,2024-01-07 01:00:00,2024-01-07 02:00:00,EURUSD,-86.39
70,2024-01-07 03:00:00,2024-01-07 04:00:00,EURUSD,126.70
71,2024-01-07 05:00:00,2024-01-07 06:00:00,EURUSD,109.05
72,2024-01-07 07:00:00,2024-01-07 08:00:00,EURUSD,-106.19
73,2024-01-07 09:00:00,2024-01-07 10:00:00,EURUSD,-92.06
74,2024-01-07 11:00:00,2024-01-07 12:00:00,EURUSD,-103.89
75,2024-01-07 13:00:00,2024-01-07 14:00:00,EURUSD,121.75
76,2024-01-07 15:00:00,2024-01-07 16:00:00,EURUSD,102.41
77,2024-01-07 17:00:00,2024-01-07 18:00:00,EURUSD,121.92
78,2024-01-07 19:00:00,2024-01-07 20:00:00,EURUSD,-89.20
79,2024-01-07 21:00:00,2024-01-07 22:00:00,EURUSD,-93.01
80,2024-01-07 23:00:00,2024-01-08 00:00:00,EURUSD,110.49
81,2024-01-08 01:00:00,2024-01-08 02:00:00,EURUSD,-89.37
82,2024-01-08 03:00:00,2024-01-08 04:00:00,EURUSD,-90.72
83,2024-01-08 05:00:00,2024-01-08 06:00:00,EURUSD,113.47
84,2024-01-08 07:00:00,2024-01-08 08:00:00,EURUSD,117.74
85,2024-01-08 09:00:00,2024-01-08 10:00:00,EURUSD,128.27
86,2024-01-08 11:00:00,2024-01-08 12:00:00,EURUSD,134.08
87,2024-01-08 13:00:00,2024-01-08 14:00:00,EURUSD,-99.16
88,2024-01-08 15:00:00,2024-01-08 16:00:00,EURUSD,108.88
89,2024-01-08 17:00:00,2024-01-08 18:00:00,EURUSD,120.68
90,2024-01-08 19:00:00,2024-01-08 20:00:00,EURUSD,-86.86
91,2024-01-08 21:00:00,2024-01-08 22:00:00,EURUSD,111.12
92,2024-01-08 23:00:00,2024-01-09 00:00:00,EURUSD,126.76
93,2024-01-09 01:00:00,2024-01-09 02:00:00,EURUSD,-109.63
94,2024-01-09 03:00:00,2024-01-09 04:00:00,EURUSD,-85.75
95,2024-01-09 05:00:00,2024-01-09 06:00:00,EURUSD,108.36
96,2024-01-09 07:00:00,2024-01-09 08:00:00,EURUSD,136.86
97,2024-01-09 09:00:00,2024-01-09 10:00:00,EURUSD,104.97
98,2024-01-09 11:00:00,2024-01-09 12:00:00,EURUSD,-88.72
99,2024-01-09 13:00:00,2024-01-09 14:00:00,EURUSD,-101.54
100,2024-01-09 15:00:00,2024-01-09 16:00:00,EURUSD,103.76
101,2024-01-09 17:00:00,2024-01-09 18:00:00,EURUSD,102.89
102,2024-01-09 19:00:00,2024-01-09 20:00:00,EURUSD,125.54
103,2024-01-09 21:00:00,2024-01-09 22:00:00,EURUSD,-107.43
104,2024-01-09 23:00:00,2024-01-10 00:00:00,EURUSD,122.75
105,2024-01-10 01:00:00,2024-01-10 02:00:00,EURUSD,-94.03
106,2024-01-10 03:00:00,2024-01-10 04:00:00,EURUSD,103.22
107,2024-01-10 05:00:00,2024-01-10 06:00:00,EURUSD,-104.97
108,2024-01-10 07:00:00,2024-01-10 08:00:00,EURUSD,119.53
109,2024-01-10 09:00:00,2024-01-10 10:00:00,EURUSD,120.17
